,Duration,Credit history,Credit amount,Present employment,Installment rate,Residence duration,Property,Age,Credits number,Job,Number of people,Purpose_car,Purpose_car_new,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_others,Purpose_radio/TV,Purpose_repairs,Purpose_retraining,Sex_male,Other_debtors_guarantor,Other_install_none,Other_install_stores,Housing_own,Housing_rent,Savings_moderate,Savings_quite_rich,Savings_rich,Checkin account_little,Checkin account_moderate,Risk_good
0,-1.2364778603818758,4,-0.7451314133870969,4,4,4,0,2.766456484802525,2,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1
1,2.248194362394665,2,0.94981678936304,2,2,2,0,-1.1914039404570165,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2,-0.73866754284237,4,-0.4165624079606274,3,2,3,0,1.1833123146987083,1,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
3,1.7503840448551593,2,1.6342469398252975,3,2,4,1,0.8315024991200823,1,2,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
4,0.2569530922366417,3,0.5666635047179338,2,3,4,3,1.5351221302773341,2,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
5,1.2525737273156534,2,2.0500090146529657,2,2,4,3,-0.04802203982648238,1,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
6,0.2569530922366417,2,-0.15462875638548074,4,3,4,1,1.5351221302773341,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
7,1.2525737273156534,2,1.3031968307979809,2,2,2,2,-0.04802203982648238,1,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
8,-0.73866754284237,2,-0.0752334411583727,3,2,4,0,2.238741761434586,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
9,0.7547634097761475,4,0.6956808919619845,0,4,2,2,-0.6636892170890777,2,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
